_id,OCCUPANCY_DATE,SECTOR,SHELTER_POSTAL_CODE,CAPACITY,SHELTER_PROVINCE,FACILITY_NAME,SHELTER_NAME,OCCUPANCY,ORGANIZATION_NAME,SHELTER_ADDRESS,SHELTER_CITY,PROGRAM_NAME,id,DateRange
1305161,2020-01-01T00:00:00,Men,M5A 2N2,51,ON,Dixon Hall-School House,Dixon Hall - Schoolhouse,51,Dixon Hall,349 George Street,Toronto,Dixon Hall - Schoolhouse,,
1305162,2020-01-01T00:00:00,Youth,M5V 3G9,50,ON,Eva's Phoenix,Eva's Phoenix,49,Eva's Initiatives,60 Brant Street,Toronto,Eva's Phoenix,,
1305163,2020-01-01T00:00:00,Youth,M3B 2T5,40,ON,Eva's Place,Eva's Place,40,Eva's Initiatives,360 Lesmill Road,North York,Eva's Place,,
1305164,2020-01-01T00:00:00,Youth,M2N OE3,32,ON,Eva's Satellite,Eva's Satellite,32,Eva's Initiatives,25 Canterbury Place,North York,Eva's Satellite,,
1305165,2020-01-01T00:00:00,Youth,M2N OE3,1,ON,Eva's Satellite,Eva's Satellite,1,Eva's Initiatives,25 Canterbury Place,North York,Eva's Satellite Extreme Weather Program,,
1305166,2020-01-01T00:00:00,Co-ed,M4X 1K9,5,ON,Fife House - Denison Program,Fife House Transitional Program,5,Fife House Foundation,"490 Sherbourne Street, 2nd floor",Toronto,Fife House Denison Program,,
1305167,2020-01-01T00:00:00,Co-ed,M4X 1K9,11,ON,Fife-Sherbourne Transitional Pgm,Fife House Transitional Program,9,Fife House Foundation,"490 Sherbourne Street, 2nd floor",Toronto,Fife-Sherbourne Transitional Program,,
1305168,2020-01-01T00:00:00,Women,M4Y 2H6,26,ON,Fred Victor 512 Jarvis St.,FV Women's Transition to Housing,25,Fred Victor Centre,512 Jarvis St.,Toronto,Fred Victor Transition to Housing:  Bedded Program,,
1305169,2020-01-01T00:00:00,Women,M4Y 2H6,37,ON,Fred Victor T2H 386 Dundas St. E,FV Women's Transition to Housing,36,Fred Victor Centre,512 Jarvis St.,Toronto,Fred Victor T2H Bedded Program,,
1305170,2020-01-01T00:00:00,Women,M5C 1M3,4,ON,FV Women's Hostel 86 Lombard,Fred Victor Women's Hostel,4,Fred Victor Centre,86 Lombard St.,Toronto,Fred Victor Women's Extreme Weather Program,,
1305171,2020-01-01T00:00:00,Women,M5C 1M3,40,ON,FV Women's Hostel 86 Lombard,Fred Victor Women's Hostel,40,Fred Victor Centre,86 Lombard St.,Toronto,Fred Victor Women's Hostel Program,,
1305172,2020-01-01T00:00:00,Co-ed,M6A 2W9,10,ON,Fred Victor BUS - 1161 Caledonia,"Fred Victor, BUS",9,Fred Victor Centre,1161 Caledonia Road,Toronto,Fred Victor - Bethlehem United Extreme Weather Program,,
1305173,2020-01-01T00:00:00,Co-ed,M6A 2W9,60,ON,Fred Victor BUS - 1161 Caledonia,"Fred Victor, BUS",60,Fred Victor Centre,1161 Caledonia Road,Toronto,Fred Victor Bethlehem United Program,,
